Title,URL,Image Source
Snapp - Yet Another Self-Hosted Url Shortener,/snapp/,/content/images/size/w600/2023/12/snapp-self-hosted-url-shortener-main-noted.lol.jpg
Self Hosting 101 - Oops we have to learn what we break!,/self-hosting-101/,/content/images/size/w600/2023/11/homelab-or-cloud-hosting-self-hosting-101-noted.lol.jpg
Dockge - A Docker Manager for Self-Hosting Enthusiasts,/dockge/,/content/images/size/w600/2023/11/self-hosted-dockge-noted.lol.jpg
Awwesome - An Enhanced user interface for Awesome Selfhosted,/awwesome/,/content/images/size/w600/2023/10/self-hosted-resources-featured-noted.lol.jpg
wg-easy - VPN Made Simple,/wg-easy-vpn-made-simple/,/content/images/size/w600/2023/03/self-hosted-wg-easy-wireguard-vpn-noted.lol.jpg
Continue - An Open-Source AI Software Development Assistant,/continue/,/content/images/size/w600/2023/10/continue-coding-chat-ai-assistant-featured-noted.lol.jpg
"Ollama - Self-Hosted AI Chat with Llama 2, Code Llama and More in Docker",/ollama/,/content/images/size/w600/2023/10/ollama-self-hosted-ai-chat-docker-noted.lol.jpg
Self-Hosted Blogging Made Easy with Ghost,/ghost-cms/,/content/images/size/w600/2023/10/ghost-self-hosted-featured-noted.lol.jpg
Faraday - Chat with AI Characters Offline,/faraday/,/content/images/size/w600/2023/10/faraday-ai-chatbot-featured-noted.lol.jpg
"Comentario - Self-Hosted, Modern Comment System",/comentario/,/content/images/size/w600/2023/10/comentario-self-hosted-comments-featured-noted.lol.png
How Unraid Helps Me Get the Most Out of Self-Hosting,/unraid-a-self-hosting-story/,/content/images/size/w600/2023/10/unraid-homelab-featured-noted.lol.jpg
"LlamaGPT - A Self-Hosted, Offline, ChatGPT",/llamagpt/,/content/images/size/w600/2023/10/llamagpt-self-hosted-featured-noted.lol.jpg
How to Convert any Website into a Zim File for Offline Viewing,/convert-any-website-into-a-zim-file-zimit/,/content/images/size/w600/2023/10/zimit-featured-noted.lol.jpg
You can Download Noted.lol Archives for Offline Reading,/noted-archives/,/content/images/size/w600/2023/10/noted.lol-archives-featured.jpg
MicroBin: Self-Hosted Pastebin for Simplifying Sharing,/microbin/,/content/images/size/w600/2023/10/microbin-self-hosted-main1-noted.lol.png
"Linkwarden - Collaborative Bookmark Manager to Collect, Organize and Archive Webpages",/linkwarden/,/content/images/size/w600/2023/10/linkwarden-self-hosted-featured-noted.lol.jpg
My Homelab: A Source of Confidence Building,/my-homelab-a-source-of-confidence-building/,/content/images/size/w600/2023/10/homelabing-featured-noted.lol.jpg
Introducing Wrestic: Rust-Based Restic Wrapper,/wrestic/,/content/images/size/w600/2023/10/wrestic-noted.lol.jpg
Uptime Kuma: Your Self-Hosted Uptime Monitoring Solution,/self-host-uptime-kuma/,/content/images/size/w600/2023/09/uptime-kuma-self-hosted-feature-noted.lol.jpg
